title	text	keywords_site	keywords_manual
Евросоюз ввел санкции против 8 россиян	"Еще восемь россиян и двоих сирийцев Шади и Назир Хоурани внес в санкционный список Евросоюз. Все граждане России в ""Официальном журнале Евросоюза"", публикующем постановления Совета ЕС, названы ""агентами ФСБ"", которые ""связаны с отравлением"" блогера Алексея Навального.
Шади и Назир Хоурани – совладельцы металлургической компании MHD Houranieh & Sons. Эта сирийская компания попала в санкционный список по обвинению в ""распространении химоружия"", сообщает ТАСС. Якобы сирийские бизнесмены Шади и Назир Хоурани ответственны за ""обеспечение сырьем производств химического оружия"" в Сирии.

ЕС пока не готов обсуждать новые санкции против России, заявил при этом глава внешнеполитической службы Европейского союза Жозеп Боррель.

""Европейские институты – это я. Мы реагируем, мы следуем процедуре, страны предлагают ""санкции"", они изучаются, с юридическими службами проводятся обсуждения и только после этого мы двигаемся вперед, работа идет"", – порадовал Боррель очередным афоризмом.

Боррель также назвал ответные меры России, Китая и Ирана на евросанкции ошибкой.

Ранее Канада ввела санкции еще против 23 россиян. Среди них сотрудники полиции, следователи, прокуроры, судьи и сотрудники тюрем, которых Оттава считает вовлеченными в ""серьезное и систематическое нарушение прав человека в отношении лидеров российской оппозиции"". Канадский премьер-министра Джастин Трюдо кроме введения санкций против россиян еще и выделил 500 миллионов долларов военной помощи Украине для покупки средств наблюдения и связи, топлива и медикаментов."	Китай/КНР, Сирия, Алексей Навальный, Евросоюз, санкции, Иран, Жозеп Боррель, Россия	Евросоюз, Россия, ФСБ, Алексей Навальный, Сирия, санкции, Жозеп Боррель
Небензя назвал ничтожной резолюцию ООН	"Проект резолюции Генеральной Ассамблеи ООН, который предполагает выплаты Россией репараций, – это юридически ничтожный документ. Его цель – легализовать то, что нельзя легализовать с точки зрения международного права, заявил официальный представитель РФ при организации Василий Небензя.
Ранее эту попытку заставить Москву платить Киеву репарации прокомментировал заместитель постпреда РФ Дмитрий Полянский. По его словам, резолюция – это желание легализовать кражу российских активов, которые были заморожены на Западе.

Украденные средства пойдут на покупку оружия и выплату долгов Украины, добавил Полянский."	резолюция, Василий Небензя, репарации, Генеральная Ассамблея ООН	Генеральная Ассамблея ООН, Россия, Василий Небензя, Киев, резолюция, Украина
Юрий Бутусов покидает театр имени Вахтангова	"Главный режиссер театра имени Вахтангова попросил освободить его от занимаемой должности. Об этом сообщил директор культурного учреждения Кирилл Крок.
Театр получил от Юрия Бутусова заявление об увольнении в понедельник. Свое решение он объяснил нахождением в Париже и отсутствием планов по возвращению в Россию.

Бутусов работал главным режиссером в театре с 2018 года. В общей сложности он поставил более 40 спектаклей. До этого трудился художественным руководителем в Санкт-Петербургском академическом театре имени Ленсовета."	театр, Юрий Бутусов, общество, Россия	театр, театр имени Вахтангова, Юрий Бутусов, Россия
Испуганные сотрудники Twitter сравнивают Маска с Волан-де-Мортом	"Сотрудники Twitter боятся упоминать имя нового владельца соцсети Илона Маска в корпоративном мессенджере. Они сравнивают бизнесмена с Волан-де-Мортом – антагонистом из книг Жжоан Роулинг о Гарри Поттере.
""Он как будто Волан-де-Морт, или Тот, Кого Нельзя Называть. Все называют его ""парень наверху"" или ""новый владелец"", чтобы, на случай, если его молодчики будут проверять чаты по словам ""Илон"" и ""Маск"", ничего не выскочило"", – цитирует сотрудника компании британская газета Daily Mail.

Работники компании опасаются, что новые сотрудники, которых Маск привел с собой в ""Твиттер"" из компании Tesla, будут отслеживать их переписку в корпоративном мессенджере Slack. По информации Daily Mail, Маск уже уволил десяток работников, которые критиковали его в сообщениях.

В октябре Маск купил ""Твиттер"" за 44 миллиарда долларов. Ранее сообщалось, что он планирует сократить 3,7 тысячи рабочих мест в компании – это половина общей численности персонала.

Сотрудники жалуются, что новости о своем увольнении узнают не от непосредственного руководства, а из СМИ."	технологии, Twitter, hi-tech, общество, соцсети	Twitter, Илон Маск, мессенджер
МВД: замглавы Херсонской области не пропала, а задержана	"Заместитель главы Херсонской области по цифровизации и социальной политике Екатерина Губарева не пропала.
Как сообщили в правоохранительных органах, сотрудники МВД задержали ее по уголовному делу об экономическом преступлении.

Сейчас с Губаревой проводятся следственные действия, передает ТАСС.

При этом представитель областного МВД заявил РИА Новости, что пока не может ни подтвердить, ни опровергнуть эту информацию.

Ранее сегодня со ссылкой на супруга Губаревой сообщалось, что Екатерина, летом вступившая в должность заместителя Владимира Сальдо, не выходила на связь с 16:30 вчерашнего дня. Последнее место, где ее видели, – здание правительства области в Геническе.

Владимир Сальдо эту информацию пока тоже не комментировал."	происшествия, задержание, общество, Херсонская область	Херсонская область, МВД, экономическое преступление,  Владимир Сальдо, Геническ
"Haval можно будет купить по ""военному"" автокредиту"	"Китайские автомобили Haval включили в программу льготного кредитования для военнослужащих. Это следует из материалов, опубликованных в Telegram-канале Минпромторга.
Также в списке значатся электромобили Evolute и отечественные машины, произведенные предприятиями ""Автоваз"", УАЗ и ГАЗ.

В настоящее время вопрос о льготном кредитовании прорабатывается с Минфином. Автором инициативы выступает вице-премьер Денис Мантуров. Идею уже поддержал президент страны Владимир Путин."	авто, политика, военные, машина/автомобиль, Владимир Путин, кредитование, льготы, общество, льготники	Haval, китайские автомобили, Минпромторг, Минфин, Владимир Путин
До конца года на создание автокомпонентов выделят 32 млрд рублей	"На 32 миллиарда рублей до конца года будут предоставлены льготные кредиты по программе Фонда развития промышленности на создание отечественной автокомпонентной базы. Об этом на совещании с президентом сообщил вице-премьер российского правительства, глава Минпромторга Денис Мантуров.
При этом Мантуров подчеркнул, что в российском автомобилестроении удалось решить главную задачу – это сохранение компетенций и коллективов. Кроме того, важным стимулом для оживления автомобильного рынка стало возобновление программ поддержки спроса. Это субсидирование производителей газомоторной техники, лизинг и льготное автокредитование. По программам господдержки уже реализовано 55 автомобилей на 15,5 миллиарда рублей.

Глава Минпромторга подчеркнул, что на заводе ""Моторинвест"" в Липецке с сентября 2022 года начат выпуск электромобилей Evolute. До конца ноября должны возобновить производство легковых автомобилей автозавод ""Москвич"" и легких коммерческих машин на заводе ""Соллерс"" в Татарстане.

АвтоВАЗ, ГАЗ, КамАЗ, УАЗ и ""Урал"" увеличивают загрузку своих конвейеров. Наращивает выпуск продукции тульский Haval.

В июле Минпромторг возобновил программу льготного автокредитования и лизинга с общим бюджетом 20,7 миллиарда рублей. Программа предоставляет базовую скидку на автомобиль до 20%, а для жителей Дальнего Востока и 25%. Кроме того, на покупку электромобилей скидка составляет 35%, но не более 925 тысяч рублей. По программе льготного автокредитования можно приобрести машины АвтоВАЗа, УАЗа, ГАЗа, тульского Haval и липецкие электромобили Evolute. Одобрено расширение программы льготного автокредитования на военных пенсионеров, ан мобилизованных и членов их семей.


Совещание главы российского государства Владимира Путина с членами правительства о состоянии дел в автомобильной отрасли в прямом эфире транслировали телеканал ""Россия 24"" и медиаплатформа ""Смотрим"","	авто, экономика, машина/автомобиль, Владимир Путин, производство, кредит, Минпромторг	льготные кредиты, Минпромторг
Ученые готовят прорыв в лечении рака	"Россия активно развивает технологии ""мирного"" атома, который касается не только генерации энергии, но и жизненно важной для сотен тысяч россиян сферы – ядерной медицины.
С каждым годом онкобольных в России становится больше, и необходимы новые, более передовые и щадящие для организма технологии по излечению от рака. В Новосибирске специалисты Института ядерной физики имени Г. И. Будкера СО РАН работают над созданием уникальной научной установки: ускорительного источника нейтронов для проведения бор-нейтронозахватной терапии. Такой метод лечения онкозаболевания направлен точно на раковые клетки, практически не затрагивает находящиеся вокруг здоровые.

Суть методики состоит в том, что пациенту вводится препарат, содержащий стабильный изотоп бора — бор-10, который накапливается в раковых клетках в больших количествах. Именно этот изотоп активно поглощает нейтроны, благодаря чему облучения потоком нейтронов внутри больной клетки происходит ядерный взрыв мельчайших размеров – ядерная реакция с большим выделением энергии. Именно такой микровзрыв и уничтожает раковые клетки опухоли, при этом не оказывая большого влияния на здоровые клетки вокруг.

Для этого метода необходим ускорительный источник этих самых нейтронов. Даже в условиях санкций и фактически сорванных контрактов на поставки комплектующих для установки специалисты Института нашли выход из ситуации – при создании используют только отечественные технологии и компоненты. О ходе работ медиаплатформе ""Смотрим"" рассказал Петр Багрянский, доктор физико-математических наук, замдиректора по научной работе ИЯФ СО РАН."	эксперт, онкология, ядерная физика, Новосибирск	Россия, ядерная медицина, онкология, ядерная физика, Иститут ядерной физики имени Г. И. Будкера, РАН, рак, технологии, лечение
Искусственный интеллект применяют 20% компаний в РФ	"Более 20% компаний, работающих в ключевх отраслях экономики РФ, освоили технологии искусственного интеллекта и используют их в работе.
Об этом на пресс-конференции в ТАСС заявила врио директора департамента стратегического развития и инноваций Минэкономразвития РФ Валерия Воробьева.

По ее словам, алгоритмы ИИ помогают сократить издержки, повысить производительность и сделать продукцию более персонифицированной. Такие технологии, сказала Воробьева, имеют не только экономический, но и социальный эффект, влияя на жизнь общества в целом.

В связи с этим одной из ключевых задач государства является не только развитие цифровизации, но и наращивание кадрового потенциала IT-отрасли."	экономика, технологии, искусственный интеллект, кадры	экономика РФ, Минэкономразвития, искусственный интеллект, технологии, IT
Минцифры работает над возвращением в Россию IT-специалистов	"Минцифры РФ прорабатывает условия программы возвращения в Россию уехавших IT-специалистов. Об это рассказал глава ведомства Максут Шадаев.
По его словам, министерство в настоящее время пытается сформулировать, какие действия необходимо предпринять, чтобы ""снять страхи и опасения"" тех, кто покинул страну, передает ТАСС.

Шадаев добавил, что вопрос не в экономических условиях, а в том, что надо дать понять специалистам: ""им нечего бояться"" в России.

Ранее глава Минцифры выступил против ""драконовских мер"" в отношении уехавших программистов и за создание программы обратной релокации для них.

Кроме того, во время своего выступления на форуме Finopolis в пятницу, 11 ноября, Шадаев заявил, что число подтвержденных учетных записей на портале Госуслуг превысило 100 миллионов. По его словам, в последнее время большая их часть верифицировалась через банковские онлайн-клиенты, пишет ""Интерфакс"".

Министр отметил, что вся система идентификации, реализуемая государством через этот портал, уже имеет ""большой масштаб проникновения""."	IT, миграция, Максут Шадаев, общество, Минцифры, специалист	Минцифры, IT-специалист, Россия
